instrumentIdentifier,SeniorityAndSecurity
58941721NMS0 1Y00287YAU3,SeniorUnsecuredBond
58941731TXA2 7M00287YAU3,SeniorUnsecuredBond
63438741NMS0 26 100287YAU3,SeniorUnsecuredBond
59832711HLT0 2600287YAW9,SeniorUnsecuredBond
61032801LUL0 1P00287YAW9,SeniorUnsecuredBond
61034002HLT0 2600287YAW9,SeniorUnsecuredBond
61512811FMD1 0700287YAY5,SeniorUnsecuredBond
62728201FMD0T07 100287YAY5,SeniorUnsecuredBond
64627282FMD1 0700287YAY5,SeniorUnsecuredBond
64627301FMD6 2600287YAY5,SeniorUnsecuredBond
65450681REI1T1DB300287YAY5,SeniorUnsecuredBond
66787242FMD0T07 100287YAY5,SeniorUnsecuredBond
69875441NMS0 L200401MAA4,SeniorSecuredBond
69831381LTRL 0700401MAB2,SeniorSecuredBond
69831561LULT 0700401MAB2,SeniorSecuredBond
70022702LULT 0700401MAB2,SeniorSecuredBond
70022751LULI 0700401MAB2,SeniorSecuredBond
70188971ESPS 1000401MAB2,SeniorSecuredBond
70189611LUL0 1000401MAB2,SeniorSecuredBond
13492521HLT0 2600440EAC1,SeniorUnsecuredBond
13492532HLT0 2600440EAC1,SeniorUnsecuredBond
13492533HLT0 2600440EAC1,SeniorUnsecuredBond
28303815FMD1 0700440EAM9,SeniorUnsecuredBond
28303816FMD1 0700440EAM9,SeniorUnsecuredBond
28303817FMD1 0700440EAM9,SeniorUnsecuredBond
28303824FMD1 0700440EAM9,SeniorUnsecuredBond
28369262HLTB 2600440EAM9,SeniorUnsecuredBond
28383761HLTB 2600440EAM9,SeniorUnsecuredBond
28384703HLTB 2600440EAM9,SeniorUnsecuredBond
30064921LUL0 1P00440EAM9,SeniorUnsecuredBond
30064922LUL0 1P00440EAM9,SeniorUnsecuredBond
31482352NMS0 1C00440EAM9,SeniorUnsecuredBond
31482353NMS0 1C00440EAM9,SeniorUnsecuredBond
56827891TXA2 7M00440EAT4,SeniorUnsecuredBond
56539311LTRI 0700440EAV9,SeniorUnsecuredBond
58596731LUL1 0700440EAV9,SeniorUnsecuredBond
58605622LUL1 0700440EAV9,SeniorUnsecuredBond
58605681LUL5 2600440EAV9,SeniorUnsecuredBond
58640803LUL1 0700440EAV9,SeniorUnsecuredBond
56527241NMS0 2300440EAW7,SeniorUnsecuredBond
56471371HLT0 2600440FAA2,SubordinateBond
61601301FMD1 0700440FAA2,SubordinateBond
51007261FMD1 0700507UAF8,SeniorUnsecuredBond
51007291HHE0 1000507UAF8,SeniorUnsecuredBond
51007301LUL0 1P00507UAF8,SeniorUnsecuredBond
51008061LTRL 0700507UAF8,SeniorUnsecuredBond
51008341NMS0 L5 R00507UAF8,SeniorUnsecuredBond
51008371LULT 0700507UAF8,SeniorUnsecuredBond
57911175FMDL 0700507UAH4,SeniorUnsecuredBond
58213981ESPS 0700507UAH4,SeniorUnsecuredBond
58216641ESPS 1000507UAH4,SeniorUnsecuredBond
58216891ESPL 1000507UAH4,SeniorUnsecuredBond
58217042FMDL 0700507UAH4,SeniorUnsecuredBond
58217363FMDL 0700507UAH4,SeniorUnsecuredBond
