instrumentIdentifier,CNLP_rating
61705512LEQ0 2608888@AA6,Baa3
61705513LEQ0 2608888@AA6,Baa3
54297181LTRL 07099514A#8,Baa2
67842211FMD5 0709951*AJ9,Baa2
67842221LEQ0 2609951*AJ9,Baa2
52122471LTR0 0711271#AA3,Baa1
52122491ESPS 1011271#AA3,Baa1
64268921FMD1 2611283*AA3,Baa2
64843271LEQ5 2612117#AA9,Baa2
70006421LULX 0712117#AB7,Baa2
65840171ESPS 1012596@AA1,A2
65840191LTR0 2612596@AA1,A2
44292022ESPS 0712656*AG7,A2
44292023ESPS 0712656*AG7,A2
60906861LUL0 0712656*AL6,A3
21081671LTRM 2612806*AH4,Baa3
21081692LEQ0 0712806*AH4,Baa3
21081701LTR0 0712806*AH4,Baa3
22199071FMD1 2612806*AH4,Baa3
22199293LTR0 0712806*AH4,Baa3
22199652LUL0 0712806*AH4,Baa3
23006832FMD1 2612806*AH4,Baa3
230068410LUL0 0712806*AH4,Baa3
23006863LUL0 0712806*AH4,Baa3
23891993FMD1 2612806*AH4,Baa3
238920611LUL0 0712806*AH4,Baa3
23892282LTR0 0712806*AH4,Baa3
24831024FMD1 2612806*AH4,Baa3
24831044LTR0 0712806*AH4,Baa3
24831201HHE0 0712806*AH4,Baa3
25744855FMD1 2612806*AH4,Baa3
25745052HHE0 0712806*AH4,Baa3
25745061LEQ0 0712806*AH4,Baa3
26715376FMD1 2612806*AH4,Baa3
26715413LEQ0 0712806*AH4,Baa3
26715437LUL0 0712806*AH4,Baa3
47711131HLT0 2613466*AA8,Baa2
3593901LUL0 07141781F@8,A2
3593911LULY 07141781G#5,A2
45292311ESPA 10151895B#5,Baa2
45292811NMS0 26151895B#5,Baa2
54563312FMD1 07151895C@6,Baa2
45293731FMD1 07151895C*8,Baa2
45293741LTRL 07151895C*8,Baa2
60246131ESPS 10151895D@5,Baa2
60246281LUL0 07151895D@5,Baa2
53059292FMD1 0715678#AH8,A2
53059293FMD1 0715678#AH8,A2
53059302FMD1 1015678#AH8,A2
53059303FMD1 1015678#AH8,A2
53059304FMD1 1015678#AH8,A2
53059362FMD1 2615678#AH8,A2
53059363FMD1 2615678#AH8,A2
53059364FMD1 2615678#AH8,A2
53059365FMD1 2615678#AH8,A2
53059534FMD1 0715678#AH8,A2
53063431LUL0 1015678#AJ4,A2
53064261LULT 0715678#AJ4,A2
17861891FMD1D0715769#AJ4,Baa2
17861901FMD1 0715769#AK1,Baa2
17861911FMD1 0715769#AL9,Baa2
48385691LUL0 1P18055#AM4,A3
48385661NMS0 1C18055#AN2,A3
48385671FMD5 1C18055#AN2,A3
45479191LTRL 0719238VB@3,Baa3
51355201FMD1 07196801A@3,Baa2
51356161LUL0 1P196801A@3,Baa2
60670501ESPS 10200447A*1,Baa1
60670831LEQ0 1C200447A*1,Baa1
60670911LEQ0 26200447A*1,Baa1
60670921LUL0 1P200447A*1,Baa1
60670951ESPS 07200447A*1,Baa1
60671711HLT0 26200447A*1,Baa1
69810811ESPL 07200447A@9,Baa1
69812791HHE0 07200447A@9,Baa1
69812801HLT0 26200447A@9,Baa1
71213671ESPL 0720557#AG6,Baa2
71214861HHE0 2620557#AG6,Baa2
71214871LTR0 2620557#AG6,Baa2
5283632LEQ0 26209115A*5,A3
5283754LTRM 26209115A*5,A3
5861325LUL0 26209115A*5,A3
5861383LTRM 26209115A*5,A3
5861385LTRM 26209115A*5,A3
6617966LUL0 26209115A*5,A3
6617972LTRM 26209115A*5,A3
7140091LEQ0 26209115A*5,A3
7140101LTRM 26209115A*5,A3
47651771LUL0 0721017#AA1,Baa3
46775122ESPS 1022357@AA9,Baa2
46775123ESPS 1022357@AA9,Baa2
46775124ESPS 1022357@AA9,Baa2
46775141FMD5 0722357@AA9,Baa2
43132951LTR0 0722536#AA1,Baa2
43132961ESPS 1022536#AA1,Baa2
47353871HLT0 2622959#AA9,Baa1
64938841FMD1 0722964*AC2,Baa2
64938861LTR0 2622964*AC2,Baa2
43920111LEQ0 2623157#AF6,Baa2
43920112LEQ0 2623157#AF6,Baa2
43920113LEQ0 2623157#AF6,Baa2
43920121LUL0 1023157#AF6,Baa2
43944741LUL0 1P23157#AF6,Baa2
43919661ESPS 1023157#AG4,Baa2
21505881LTRM 2623346@AB9,Baa1
21505961LULY 0723346@AB9,Baa1
21505971LTRI 0723346@AB9,Baa1
21506041LUL0 0723346@AB9,Baa1
52139181FMD1 0724617#AA9,Baa2
52139191FMD5 2624617#AA9,Baa2
52139201FMD5 0724617#AA9,Baa2
25395661HLT0 2624715@AA2,A1
25395671LTRM 2624715@AA2,A1
25395782FMD1 0724715@AA2,A1
25395982FMD5 0724715@AA2,A1
25396152ESPL 0724715@AA2,A1
25396712LEQ0 1C24715@AA2,A1
38340481FMD1 0724715@AJ3,A1
38340561HLT0 2624715@AJ3,A1
53268501LUL0 1P26860#AA8,Baa2
53269151LTRL 0726860#AA8,Baa2
38363401FMD1 07278865C*9,A3
50989191LEQ0 2629252BAA7,A3
